good_id;category;подкатегория;name;Емкость;Фасовка;Крупный опт;Средний опт;Мелкий опт;Рекомендованная розничная цена;desc;;
3583-001;Масла IDEMITSU;Моторное масло Idemitsu ZEPRO (Япония);IDEMITSU ZEPRO ECO MEDALIST  0W20 SN/GF-5;1L;20; 	538,00р. ;565 р.;593 р.; 	725,00р. ;Энергосберегающее моторное масло для бензиновых двигателей со сверхвысоким индексом вязкости и присадками на основе атомарного органического молибдена (Синтетика);;
3583-004;Масла IDEMITSU;Моторное масло Idemitsu ZEPRO (Япония);IDEMITSU ZEPRO ECO MEDALIST  0W20 SN/GF-5;4L;6; 	1 920,00р. ;2 016 р.;2 117 р.; 	2 600,00р. ;;;
3583-020;Масла IDEMITSU;Моторное масло Idemitsu ZEPRO (Япония);IDEMITSU ZEPRO ECO MEDALIST  0W20 SN/GF-5;20L;1; 	8 850,00р. ;9 293 р.;9 757 р.;;;;
3583-200;Масла IDEMITSU;Моторное масло Idemitsu ZEPRO (Япония);IDEMITSU ZEPRO ECO MEDALIST  0W20 SN/GF-5;200L;1; 	76 950,00р. ;80 798 р.;84 837 р.;;;;
3615-001;Масла IDEMITSU;Моторное масло Idemitsu ZEPRO (Япония);IDEMITSU ZEPRO TOURING  PRO  0W30 SN/CF GF-5   ;1L;20; 	538,00р. ;565 р.;593 р.; 	725,00р. ;Универсальное высокотехнологичное энергосберегающее синтетическое масло, на основе смеси VHVI и PAO, что обеспечивает непревзойденную защиту двигателя от износа и отложений;;
3615-004;Масла IDEMITSU;Моторное масло Idemitsu ZEPRO (Япония);IDEMITSU ZEPRO TOURING  PRO  0W30 SN/CF GF-5;4L;6; 	1 920,00р. ;2 016 р.;2 117 р.; 	2 600,00р. ;;;
1845-001;Масла IDEMITSU;Моторное масло Idemitsu ZEPRO (Япония);IDEMITSU ZEPRO TOURING   5W30 SN/GF-5;1L;20; 	497,00р. ;522 р.;548 р.; 	670,00р. ;Энергосберегающее масло для бензиновых двигателей (Синтетика);;
1845-004;Масла IDEMITSU;Моторное масло Idemitsu ZEPRO (Япония);IDEMITSU ZEPRO TOURING   5W30 SN/GF-5;4L;6; 	1 775,00р. ;1 864 р.;1 957 р.; 	2 400,00р. ;;;
1845-020;Масла IDEMITSU;Моторное масло Idemitsu ZEPRO (Япония);IDEMITSU ZEPRO TOURING   5W30 SN/GF-5;20L;1; 	8 200,00р. ;8 610 р.;9 041 р.;;;;
1845-200;Масла IDEMITSU;Моторное масло Idemitsu ZEPRO (Япония);IDEMITSU ZEPRO TOURING   5W30 SN/GF-5;200L;1; 	70 900,00р. ;74 445 р.;78 167 р.;;;;
