"Марка";"Номер";"Модель";"Цоколь";"Цветовая температура";"Потребляемая мощность";"Выдаваемая мощность";"Тип лампы";"Страна производства";"Описание";"Подробное описание";"Частота звучания";"Уровень громкости";"";"Объем, л";"Срок годности";"Тип двигателя";"Область действия";"Состав";"Цвет";"Температура начала кристализации";"Органический/Неорганический/Гибридный";"Тип трансмиссии (МКПП)";"Тип трансмиссии (АКПП/Вариатор)";"ГУР";"Вид масла (минеральное/синтетическое/полусинтетическое)";"Вязкость";"Для бензинового двигателя";"Для дизельного двигателя";"Для легковых автомобилей";"Для грузовых автомобилей";"Для мототехники";"Для спецтехники";"Для водной техники";"Перепускной клапан";"Высота, мм";"Внешний диаметр, мм";"Резьба (винтовой диаметр)"
"PIAA";"HY101-H4";"PIAA SOLAR YELLOW (H4) (2500K)";"H4";"2500К";"60/55W";"130/120W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Новая серия желтых ламп с ярким солнечным светом PIAA SOLAR YELLOW отвечает самым высоким требованиям, подходящих к использованию при таких погодных условиях, как сильный туман, дождь, снег. Имеют ряд преимуществ перед другими лампами: Желтый свет Увеличенный радиус освещения.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HY103-H3";"PIAA SOLAR YELLOW (H3) (2500K)";"H3";"2500К";"55W";"100W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Новая серия желтых ламп с ярким солнечным светом PIAA SOLAR YELLOW отвечает самым высоким требованиям, подходящих к использованию при таких погодных условиях, как сильный туман, дождь, снег. Имеют ряд преимуществ перед другими лампами: Желтый свет Увеличенный радиус освещения.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HY104-H3C";"PIAA SOLAR YELLOW (H3С) (2500K)";"H3C";"2500K";"55W";"100W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Новая серия желтых ламп с ярким солнечным светом PIAA SOLAR YELLOW отвечает самым высоким требованиям, подходящих к использованию при таких погодных условиях, как сильный туман, дождь, снег. Имеют ряд преимуществ перед другими лампами: Желтый свет Увеличенный радиус освещения.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HY107-HB";"PIAA SOLAR YELLOW (HB3/HB4) (2500K)";"HB3/HB4";"2500К";"55W";"100W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Новая серия желтых ламп с ярким солнечным светом PIAA SOLAR YELLOW отвечает самым высоким требованиям, подходящих к использованию при таких погодных условиях, как сильный туман, дождь, снег. Имеют ряд преимуществ перед другими лампами: Желтый свет Увеличенный радиус освещения.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HY108-H8";"SOLAR YELLOW (H8) (2500K)";"H8";"2500К";"55W";"100W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Новая серия желтых ламп с ярким солнечным светом PIAA SOLAR YELLOW отвечает самым высоким требованиям, подходящих к использованию при таких погодных условиях, как сильный туман, дождь, снег. Имеют ряд преимуществ перед другими лампами: Желтый свет Увеличенный радиус освещения.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HY110-H11";"PIAA SOLAR YELLOW (H11) (2500K)";"H11";"2500К";"55W";"100W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Новая серия желтых ламп с ярким солнечным светом PIAA SOLAR YELLOW отвечает самым высоким требованиям, подходящих к использованию при таких погодных условиях, как сильный туман, дождь, снег. Имеют ряд преимуществ перед другими лампами: Желтый свет Увеличенный радиус освещения.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HY111-H16";"SOLAR YELLOW (H16) (2500K)";"H16";"2500К";"55W";"100W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Новая серия желтых ламп с ярким солнечным светом PIAA SOLAR YELLOW отвечает самым высоким требованиям, подходящих к использованию при таких погодных условиях, как сильный туман, дождь, снег. Имеют ряд преимуществ перед другими лампами:Желтый свет Увеличенный радиус освещения.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HV101-H4";"PIAA SUPER LONG LIFE (H4) (4500K)";"H4";"4500K";"60/55W";"60/55W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Благодаря усовершенствованному цоколю лампы SUPER LONG LIFE возможно использование не только в обычных автомобилях с питанием 12V, но и в электрических и гибридных авто, имеют преимущества перед другими лампами: Увеличенный срок службы лампы в 2 раза";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HV103-H3";"PIAA SUPER LONG LIFE (H3) (4500K)";"H3";"4500K";"55W";"55W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Благодаря усовершенствованному цоколю лампы SUPER LONG LIFE возможно использование не только в обычных автомобилях с питанием 12V, но и в электрических и гибридных авто, имеют преимущества перед другими лампами: Увеличенный срок службы лампы в 2 раза";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HV105-H1";"PIAA SUPER LONG LIFE (H1) (4500K)";"H1";"4500K";"55W";"55W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Благодаря усовершенствованному цоколю лампы SUPER LONG LIFE возможно использование не только в обычных автомобилях с питанием 12V, но и в электрических и гибридных авто, имеют преимущества перед другими лампами: Увеличенный срок службы лампы в 2 раза";;;;;;;;;;;;;;;;;;;;;;;;;;;
